kai	Ziza
	0.436544766334
o	MEM
	0.492588002939
en	Iechonias
	0.617217728918
de	Athersatha
	0.508328787615
tou	aream
	0.45831678157
eiv	Sesac
	0.488093829813
to	Abdias
	0.50500111893
ton	octavo
	0.658687298757
thn	Thamar
	0.541919108643
autou	Oreb
	0.528745252317
h	Husai
	0.442582719944
thv	regnare
	0.631126926081
oti	plebe
	0.511363088649
tw	Iechonias
	0.446683110194
twn	contritus
	0.518543449308
oi	murmurabant
	0.522135700155
gar	Ezechiam
	0.499514641219
mh	Hieroam
	0.56126532776
auton	octavo
	0.577314487746
estin	Felix
	0.492336317915
th	Saraias
	0.475541402247
autw	Iemini
	0.636021622786
ta	persecutus
	0.637434601901
ou	palam
	0.577399061555
ouk	Barabban
	0.533762516724
touv	Basan
	0.497946709355
prov	cervices
	0.494284226758
yeou	aream
	0.578496907275
ek	Agag
	0.486947963774
epi	Abdon
	0.312018998226
ina	Iechoniam
	0.450432958965
eipen	ieiunio
	0.606987266426
toiv	Maspha
	0.711790227294
umin	Esaiam
	0.465368066868
ei	age
	0.539319154143
autwn	Sepharvaim
	0.549473552271
mou	buccellam
	0.465560381668
umwn	Babylon
	0.518866535847
autoiv	Iesi
	0.611262732668
oun	Artarxersis
	0.438351454421
apo	Salmana
	0.510410073892
ihsouv	Cedar
	0.583046344498
dia	Iosaphat
	0.587043256733
sou	buccellam
	0.590715521851
wv	Masphat
	0.407454805707
umav	Sedeciam
	0.495418570287
ti	ieiunio
	0.559613363865
hn	uxoris
	0.463159303551
hmwn	Nabuchodonosor
	0.572097205393
tiv	Baruch
	0.562337707614
egw	verumtamen
	0.574786143279
autouv	urbes
	0.44867877311
tav	Seon
	0.441615106508
ihsou	Ezechias
	0.620286262434
legei	ieiunio
	0.58764310827
alla	Hierobbaal
	0.545507874964
kata	Ahaz
	0.543075949822
ean	iniuriam
	0.656860377478
peri	Sesac
	0.475470439291
touto	reliquias
	0.621486258863
all	Hierobbaal
	0.567902767148
yeov	rex
	0.654946293965
me	verumtamen
	0.578680594421
meta	Soba
	0.347739243616
cristou	Nabuchodonosor
	0.550766493552
panta	Iechoniam
	0.452198710962
ex	Ioiachim
	0.367213069402
tauta	Esaiam
	0.538934743419
kuriou	Assyrios
	0.634572170953
umeiv	Iudaea
	0.559622885018
moi	Hierosolymam
	0.451891118933
ov	preces
	0.59593801152
soi	Herodes
	0.416239125439
legw	adnuntio
	0.563172428411
idou	Sunamitin
	0.57188419188
outwv	Barabban
	0.505443200913
te	Aseroth
	0.574929747978
auth	Isai
	0.531998153085
taiv	Iohanan
	0.767828389111
egeneto	Helcana
	0.426495346724
se	Sophoniam
	0.538960935127
men	Artarxersis
	0.486956929522
outov	tantummodo
	0.524616952882
upo	Adadezer
	0.437155225901
an	pecuniae
	0.710468764138
legwn	VAV
	0.484373881222
kuriov	postulasti
	0.579972697971
kaywv	Ezechiam
	0.481185109024
hmin	Iudae
	0.49903103186
hmav	Ioachim
	0.56030540229
autov	preces
	0.592719658674
su	ieiunio
	0.473342658592
pantev	obsidebant
	0.597225858435
authv	Sarai
	0.463800665917
on	immolavit
	0.686534426699
eipon	mundati
	0.570344924929
eisin	Ioppe
	0.556030114745
uiov	ostende
	0.50893069646
yew	Ezechiam
	0.45509482325
pneuma	Amasias
	0.481030809746
uper	Ezechiam
	0.474708898941
tote	Beelphegor
	0.545938964079
legontev	armati
	0.562586890928
ai	Philippus
	0.541144758658
amhn	Naboth
	0.620965951379
yeon	remanserat
	0.58876896894
adelfoi	aedificavi
	0.610398103132
w	Ezechiam
	0.426113185743
ewv	Phaethmoab
	0.435299066937
di	Cyri
	0.523916954385
ep	Dadan
	0.284326633276
palin	Asiongaber
	0.571169659072
nun	Ezechiam
	0.39813684769
eimi	verumtamen
	0.474237145374
para	Barachiae
	0.589435806414
pantwn	Sedrac
	0.562546854797
ihsoun	leviticarum
	0.550460943368
logon	Chodorlahomor
	0.428984122221
ghv	Abner
	0.526869443107
authn	Sarra
	0.506481654199
met	Phanuhel
	0.458550493312
oude	epistulis
	0.559944656165
anyrwpou	licet
	0.559678761018
wn	contritus
	0.51996399191
kurie	samech
	0.592985386379
anyrwpov	tantummodo
	0.505600253913
einai	Antiochiae
	0.50185844741
hmeiv	Iudaeos
	0.520017176236
sun	provinciae
	0.521094601635
hmerav	Isachar
	0.456801691453
ap	Sophoniam
	0.51882425135
duo	Raab
	0.521229672906
otan	Godoliam
	0.492790751765
estai	interrogavit
	0.466231714819
cristov	Ezechias
	0.598873082173
a	Ioppe
	0.493606736813
emou	buccellam
	0.451407033806
auto	Iechoniam
	0.455114606101
pathr	verumtamen
	0.607716547506
mayhtai	Altissimi
	0.588237792835
apokriyeiv	ieiunio
	0.552816150825
hmera	Nathanahel
	0.512934745453
cristw	Ezechias
	0.483476615169
ote	Sepharvaim
	0.537113302565
pwv	Athersatha
	0.519468462482
onoma	ephod
	0.451853712607
ouc	Barabban
	0.497630001614
petrov	zai
	0.47844110578
kuriw	Ezechiam
	0.428538151415
eti	Husai
	0.49846676743
patrov	abstulit
	0.638800440558
anyrwpwn	eunuchus
	0.512602355239
ecei	moriar
	0.616760367514
pav	Nabo
	0.57028720962
ekei	accepi
	0.63737796214
emoi	Iudaeam
	0.51372277683
enwpion	Agag
	0.504658700074
oudeiv	ieiunio
	0.53585225872
hsan	Musi
	0.425588258498
pneumatov	Amasias
	0.640648036826
pneumati	Amasias
	0.469408914546
pistewv	Ezechiam
	0.514015237607
ouranou	Giezi
	0.497755084225
patera	attamen
	0.662739408698
onomati	Iechonias
	0.444674595947
