et	asyenhv
	0.49450638079
in	proswpou
	0.575562681017
est	hgemonov
	0.609140138593
ad	aphggeilen
	0.503433142329
non	didachv
	0.439332681083
qui	oikia
	0.484562167002
eius	uperbolhn
	0.50456527757
autem	sunagwghv
	0.415305295155
de	deixw
	0.683517951001
ut	trapezhv
	0.400923323332
cum	saddoukaiwn
	0.449499964356
Dominus	sinapewv
	0.475295261795
super	didwmi
	0.429853858759
sunt	laon
	0.466629297009
eum	hgemwn
	0.346433626176
me	sun
	0.559737684485
quae	ekeinw
	0.522152956102
quod	anasthsetai
	0.445640038173
Israhel	ierousalhm
	0.381850821268
quia	oikia
	0.473537798067
a	exercomenoi
	0.638317346286
te	peripatountav
	0.583176938527
enim	epistasye
	0.351500102203
Domini	elaloun
	0.452919181876
Deus	makedoniav
	0.397151053661
eos	div
	0.437465100187
si	oudemian
	0.52396622326
per	elehmosunhn
	0.660822718911
ego	oitinev
	0.39646126554
eorum	touv
	0.27435782065
filii	polewv
	0.432849120066
ei	sabbatw
	0.381675410528
sed	anastasin
	0.440420542707
haec	paulou
	0.469749953465
vos	eisin
	0.42442607496
ex	amfoteroi
	0.565773366468
sicut	toiauthn
	0.40882254768
eis	idontev
	0.283139686973
omnes	proskarterountev
	0.408162248396
vobis	gnontev
	0.256648850395
dixit	oclov
	0.468672504876
Dei	proskarterountev
	0.378639477535
eo	krazei
	0.438020782244
mihi	elabomen
	0.392926320911
ait	oclov
	0.406563050504
tibi	israhlitai
	0.35306828299
terra	crusw
	0.494776960385
ergo	proshnegkan
	0.319003029735
Domino	agnoein
	0.417709381428
David	babulwnov
	0.386948312771
erat	alfaiou
	0.446045234533
usque	edidou
	0.479435672684
pro	agnoein
	0.547658131471
dicit	paragenomenov
	0.501919804383
terram	anektoteron
	0.466261752456
quam	egeryhsetai
	0.525385224516
ecce	eorthv
	0.412694005543
ab	fobou
	0.48270931737
quasi	tauth
	0.471396746843
erit	toioutov
	0.545396217885
rex	iouda
	0.440564573773
filius	cilia
	0.423409082131
die	parekaloun
	0.500809125864
tua	filhmati
	0.415012558534
mea	diakonia
	0.346447991485
eam	alhyinon
	0.472605508971
hoc	faraw
	0.349846972137
ne	parelabete
	0.513515067233
dicens	exelywn
	0.439050835306
omnia	peri
	0.503350177054
nec	akribwv
	0.428792447619
tu	proskarterountev
	0.481027696546
contra	eyhken
